"[1 6]" "[ 1 -1]" "[2 5]" -2.283836410842
"[2 5]" "[0 1]" "[2 6]" 0.0591840289882037
"[2 6]" "[0 1]" "[2 7]" 0.477896556535971
"[2 7]" "[0 1]" "[2 7]" 0.230700623463678
"[2 7]" "[0 1]" "[2 7]" 0.169206734713762
"[2 7]" "[ 1 -1]" "[3 6]" 0.338528128727393
"[3 6]" "[0 1]" "[3 7]" 0.378742451293601
"[3 7]" "[0 1]" "[3 7]" 0.0533280877479929
"[3 7]" "[0 1]" "[3 7]" -0.011724267157089
"[3 7]" "[0 1]" "[3 7]" 0.309803472861236
"[3 7]" "[0 1]" "[3 7]" 0.204138316509386
"[3 7]" "[0 1]" "[3 7]" 0.00107763369596436
"[3 7]" "[0 1]" "[3 7]" 0.315508354703754
"[3 7]" "[0 1]" "[3 7]" 0.0488420346516197
"[3 7]" "[0 0]" "[3 7]" -0.0215711253974067
"[3 7]" "[0 1]" "[3 7]" 0.244470793925449
"[3 7]" "[0 1]" "[3 7]" 0.0915400376686779
"[3 7]" "[0 1]" "[3 7]" 0.266477766682204
"[3 7]" "[0 1]" "[3 7]" 0.341820323830264
"[3 7]" "[-1  1]" "[2 7]" 0.534997725534486
"[2 7]" "[0 1]" "[2 7]" 0.461404465798017
"[2 7]" "[0 1]" "[2 7]" 0.538014128745838
"[2 7]" "[ 0 -1]" "[2 6]" 0.374635301921295
"[2 6]" "[0 1]" "[2 7]" 0.587080139298413
