"[1 2]" "[1 1]" "[2 3]" 0.150835068489694
"[2 3]" "[0 1]" "[2 4]" 0.232752808812028
"[2 4]" "[0 1]" "[2 5]" 0.21524391040109
"[2 5]" "[0 1]" "[2 6]" 0.274937060048761
"[2 6]" "[0 1]" "[2 7]" 0.406746110540038
"[2 7]" "[0 1]" "[2 7]" 0.184874107862325
"[2 7]" "[0 1]" "[2 7]" 0.368372535244477
"[2 7]" "[0 1]" "[2 7]" -1.07241125254944
"[2 7]" "[ 0 -1]" "[2 6]" 0.425401542465619
"[2 6]" "[0 1]" "[2 7]" 0.547201843425465
"[2 7]" "[ 0 -1]" "[2 6]" 0.334888963771566
"[2 6]" "[0 1]" "[2 7]" 0.411272702413691
"[2 7]" "[ 0 -1]" "[2 6]" 0.204207179718948
"[2 6]" "[0 1]" "[2 7]" 0.290392259298736
"[2 7]" "[ 0 -1]" "[2 6]" 0.259157993804431
"[2 6]" "[0 1]" "[2 7]" 0.398002007065434
"[2 7]" "[ 0 -1]" "[2 6]" -0.844686733773971
"[2 6]" "[0 1]" "[2 7]" 0.274855037967224
"[2 7]" "[ 0 -1]" "[2 6]" 0.332535219023095
"[2 6]" "[0 1]" "[2 7]" 0.302285106804827
"[2 7]" "[ 0 -1]" "[2 6]" 0.282434213009533
"[2 6]" "[0 1]" "[2 7]" 0.33276921885434
"[2 7]" "[ 0 -1]" "[2 6]" 0.374667568642567
"[2 6]" "[1 0]" "[3 6]" 0.440872089866557
