"[1 2]" "[1 1]" "[2 3]" 9.21917942265477
"[2 3]" "[0 1]" "[2 4]" 9.26630466449134
"[2 4]" "[0 0]" "[2 4]" 9.13743984476949
"[2 4]" "[-1  1]" "[1 5]" 9.27517787657851
"[1 5]" "[ 1 -1]" "[2 4]" 9.20716200201205
"[2 4]" "[-1 -1]" "[1 3]" 9.27681556632336
"[1 3]" "[1 1]" "[2 4]" 9.22122093919822
"[2 4]" "[0 0]" "[2 4]" 9.1727038210563
"[2 4]" "[0 0]" "[2 4]" 9.17776929292966
"[2 4]" "[0 0]" "[2 4]" 9.26681398465268
"[2 4]" "[0 0]" "[2 4]" 9.199278654686
"[2 4]" "[0 0]" "[2 4]" 9.22127671086232
"[2 4]" "[0 0]" "[2 4]" 9.19010499084934
"[2 4]" "[0 0]" "[2 4]" 9.24062346579351
"[2 4]" "[0 0]" "[2 4]" 9.16106629893185
"[2 4]" "[0 0]" "[2 4]" 9.29236219064637
"[2 4]" "[0 0]" "[2 4]" 9.21031999755778
"[2 4]" "[0 0]" "[2 4]" 9.23788947006002
"[2 4]" "[0 0]" "[2 4]" 9.20699945118036
"[2 4]" "[0 0]" "[2 4]" 9.22725654403533
"[2 4]" "[0 0]" "[2 4]" 9.19433256693941
"[2 4]" "[0 0]" "[2 4]" 9.20699507350055
"[2 4]" "[0 0]" "[2 4]" 9.14126891971964
"[2 4]" "[0 0]" "[2 4]" 9.1219676388098
