"[1 6]" "[ 1 -1]" "[2 5]" 0.340295286658263
"[2 5]" "[ 0 -1]" "[2 4]" 0.416365243307246
"[2 4]" "[0 0]" "[2 4]" 0.240600871173191
"[2 4]" "[0 0]" "[2 4]" 0.325632507980933
"[2 4]" "[0 0]" "[2 4]" 0.284094972471177
"[2 4]" "[0 0]" "[2 4]" 0.276653891609268
"[2 4]" "[0 0]" "[2 4]" 0.257532865421982
"[2 4]" "[0 0]" "[2 4]" -2.21779133296164
"[2 4]" "[0 0]" "[2 4]" 0.232945952799134
"[2 4]" "[0 0]" "[2 4]" 0.25178757860757
"[2 4]" "[0 0]" "[2 4]" 0.179568445144988
"[2 4]" "[0 0]" "[2 4]" 0.264680135248879
"[2 4]" "[0 0]" "[2 4]" 0.19602676455183
"[2 4]" "[0 0]" "[2 4]" 0.215359393224704
"[2 4]" "[0 0]" "[2 4]" 0.220962377595034
"[2 4]" "[0 0]" "[2 4]" 0.353388801747623
"[2 4]" "[0 0]" "[2 4]" 0.258766544977807
"[2 4]" "[0 0]" "[2 4]" 0.234832160120599
"[2 4]" "[0 0]" "[2 4]" 0.188833626627598
"[2 4]" "[0 0]" "[2 4]" 0.249612118245251
"[2 4]" "[0 0]" "[2 4]" 0.265830979787105
"[2 4]" "[0 0]" "[2 4]" 0.309375645054552
"[2 4]" "[1 0]" "[3 4]" 0.179265677601085
"[3 4]" "[-1  0]" "[2 4]" 0.377886699674736
